Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257658,RS_198,COUNTRY,AFG,YEAR,2017,SEX,FMLE,,,,,,,6.0 [5.2-6.8],5.99219,5.17048,6.81715,,2021-02-09T16:20:04Z,2017,2017-01-01,2017-12-31
25257659,RS_198,COUNTRY,AFG,YEAR,2004,SEX,MLE,,,,,,,22.8 [19.0-26.5],22.76968,19.01817,26.51513,,2021-02-09T16:20:04Z,2004,2004-01-01,2004-12-31
25257660,RS_198,COUNTRY,AFG,YEAR,2000,SEX,MLE,,,,,,,22.3 [18.3-26.2],22.26858,18.34848,26.19614,,2021-02-09T16:20:04Z,2000,2000-01-01,2000-12-31
25257661,RS_198,COUNTRY,AFG,YEAR,2011,SEX,MLE,,,,,,,21.9 [18.6-25.3],21.90351,18.55693,25.2552,,2021-02-09T16:20:04Z,2011,2011-01-01,2011-12-31
25257662,RS_198,COUNTRY,AFG,YEAR,2017,SEX,MLE,,,,,,,23.8 [20.5-27.0],23.76755,20.5083,27.03967,,2021-02-09T16:20:04Z,2017,2017-01-01,2017-12-31
25257663,RS_198,COUNTRY,AFG,YEAR,2002,SEX,MLE,,,,,,,22.7 [18.8-26.5],22.65267,18.80891,26.48972,,2021-02-09T16:20:04Z,2002,2002-01-01,2002-12-31
25257664,RS_198,COUNTRY,AFG,YEAR,2006,SEX,FMLE,,,,,,,6.9 [5.8-8.0],6.8752,5.77365,7.97675,,2021-02-09T16:20:04Z,2006,2006-01-01,2006-12-31
25257665,RS_198,COUNTRY,AFG,YEAR,2009,SEX,FMLE,,,,,,,6.4 [5.4-7.3],6.35363,5.37615,7.33266,,2021-02-09T16:20:04Z,2009,2009-01-01,2009-12-31
25257666,RS_198,COUNTRY,AFG,YEAR,2013,SEX,MLE,,,,,,,21.6 [18.4-24.8],21.59261,18.42314,24.76208,,2021-02-09T16:20:04Z,2013,2013-01-01,2013-12-31
25257667,RS_198,COUNTRY,AFG,YEAR,2009,SEX,MLE,,,,,,,22.1 [18.7-25.5],22.10508,18.7043,25.51126,,2021-02-09T16:20:04Z,2009,2009-01-01,2009-12-31
25257668,RS_198,COUNTRY,AFG,YEAR,2001,SEX,FMLE,,,,,,,6.7 [5.6-7.9],6.72139,5.56174,7.87895,,2021-02-09T16:20:05Z,2001,2001-01-01,2001-12-31
25257669,RS_198,COUNTRY,AFG,YEAR,2011,SEX,FMLE,,,,,,,6.2 [5.2-7.1],6.15623,5.21563,7.09826,,2021-02-09T16:20:05Z,2011,2011-01-01,2011-12-31
25257670,RS_198,COUNTRY,AFG,YEAR,2012,SEX,BTSX,,,,,,,13.8 [11.7-15.9],13.78533,11.71481,15.85906,,2021-02-09T16:20:05Z,2012,2012-01-01,2012-12-31
25257671,RS_198,COUNTRY,AFG,YEAR,2005,SEX,MLE,,,,,,,22.8 [19.1-26.5],22.83723,19.13961,26.53486,,2021-02-09T16:20:05Z,2005,2005-01-01,2005-12-31
25257672,RS_198,COUNTRY,AFG,YEAR,2000,SEX,BTSX,,,,,,,14.7 [12.1-17.2],14.65042,12.07139,17.23434,,2021-02-09T16:20:05Z,2000,2000-01-01,2000-12-31
25257673,RS_198,COUNTRY,AFG,YEAR,2001,SEX,BTSX,,,,,,,15.1 [12.5-17.7],15.11109,12.50395,17.71353,,2021-02-09T16:20:05Z,2001,2001-01-01,2001-12-31
25257674,RS_198,COUNTRY,AFG,YEAR,2019,SEX,MLE,,,,,,,24.8 [21.5-28.2],24.84867,21.52775,28.19764,,2021-02-09T16:20:05Z,2019,2019-01-01,2019-12-31
25257675,RS_198,COUNTRY,AFG,YEAR,2012,SEX,FMLE,,,,,,,5.9 [5.0-6.7],5.85804,4.97818,6.73927,,2021-02-09T16:20:05Z,2012,2012-01-01,2012-12-31
25257676,RS_198,COUNTRY,AFG,YEAR,2018,SEX,BTSX,,,,,,,14.2 [12.3-16.2],14.24515,12.31653,16.185669999999998,,2021-02-09T16:20:05Z,2018,2018-01-01,2018-12-31
25257677,RS_198,COUNTRY,AFG,YEAR,2007,SEX,MLE,,,,,,,22.7 [19.1-26.3],22.73158,19.14003,26.32874,,2021-02-09T16:20:05Z,2007,2007-01-01,2007-12-31
25257678,RS_198,COUNTRY,AFG,YEAR,2014,SEX,FMLE,,,,,,,5.8 [5.0-6.6],5.81149,4.97792,6.64506,,2021-02-09T16:20:05Z,2014,2014-01-01,2014-12-31
25257679,RS_198,COUNTRY,AFG,YEAR,2012,SEX,MLE,,,,,,,21.3 [18.1-24.5],21.33108,18.1272,24.53992,,2021-02-09T16:20:05Z,2012,2012-01-01,2012-12-31
25257680,RS_198,COUNTRY,AFG,YEAR,2003,SEX,FMLE,,,,,,,7.0 [5.8-8.1],6.96812,5.80611,8.13012,,2021-02-09T16:20:05Z,2003,2003-01-01,2003-12-31
25257681,RS_198,COUNTRY,AFG,YEAR,2018,SEX,FMLE,,,,,,,5.3 [4.6-6.0],5.29091,4.57458,6.01165,,2021-02-09T16:20:05Z,2018,2018-01-01,2018-12-31
25257682,RS_198,COUNTRY,AFG,YEAR,2008,SEX,FMLE,,,,,,,6.6 [5.6-7.7],6.64139,5.60198,7.6808,,2021-02-09T16:20:05Z,2008,2008-01-01,2008-12-31
25257683,RS_198,COUNTRY,AFG,YEAR,2002,SEX,FMLE,,,,,,,6.7 [5.6-7.8],6.69563,5.5595,7.82978,,2021-02-09T16:20:05Z,2002,2002-01-01,2002-12-31
25257684,RS_198,COUNTRY,AFG,YEAR,2018,SEX,MLE,,,,,,,22.7 [19.6-25.8],22.72377,19.64724,25.81928,,2021-02-09T16:20:05Z,2018,2018-01-01,2018-12-31
25257685,RS_198,COUNTRY,AFG,YEAR,2011,SEX,BTSX,,,,,,,14.2 [12.0-16.4],14.21635,12.04427,16.39175,,2021-02-09T16:20:05Z,2011,2011-01-01,2011-12-31
25257686,RS_198,COUNTRY,AFG,YEAR,2002,SEX,BTSX,,,,,,,14.9 [12.4-17.4],14.91542,12.38453,17.44188,,2021-02-09T16:20:05Z,2002,2002-01-01,2002-12-31
25257687,RS_198,COUNTRY,AFG,YEAR,2001,SEX,MLE,,,,,,,23.0 [19.1-27.0],23.0265,19.05369,26.99214,,2021-02-09T16:20:05Z,2001,2001-01-01,2001-12-31
25257688,RS_198,COUNTRY,AFG,YEAR,2003,SEX,BTSX,,,,,,,15.0 [12.5-17.5],15.01634,12.51221,17.52047,,2021-02-09T16:20:05Z,2003,2003-01-01,2003-12-31
25257689,RS_198,COUNTRY,AFG,YEAR,2013,SEX,BTSX,,,,,,,14.0 [11.9-16.0],13.96512,11.91525,16.01499,,2021-02-09T16:20:05Z,2013,2013-01-01,2013-12-31
25257690,RS_198,COUNTRY,AFG,YEAR,2019,SEX,BTSX,,,,,,,15.9 [13.7-18.0],15.85932,13.73979,17.99675,,2021-02-09T16:20:05Z,2019,2019-01-01,2019-12-31
25257691,RS_198,COUNTRY,AFG,YEAR,2015,SEX,FMLE,,,,,,,5.7 [4.9-6.6],5.74769,4.93961,6.55578,,2021-02-09T16:20:05Z,2015,2015-01-01,2015-12-31
25257692,RS_198,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,14.8 [12.8-16.9],14.81002,12.75135,16.87153,,2021-02-09T16:20:05Z,2016,2016-01-01,2016-12-31
25257693,RS_198,COUNTRY,AFG,YEAR,2000,SEX,FMLE,,,,,,,6.6 [5.4-7.7],6.57997,5.42165,7.74049,,2021-02-09T16:20:05Z,2000,2000-01-01,2000-12-31
25257694,RS_198,COUNTRY,AFG,YEAR,2015,SEX,MLE,,,,,,,22.5 [19.3-25.7],22.50902,19.3444,25.67364,,2021-02-09T16:20:05Z,2015,2015-01-01,2015-12-31
25257695,RS_198,COUNTRY,AFG,YEAR,2003,SEX,MLE,,,,,,,22.6 [18.8-26.3],22.57145,18.80742,26.33547,,2021-02-09T16:20:05Z,2003,2003-01-01,2003-12-31
25257696,RS_198,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,5.8 [5.0-6.6],5.82269,5.0133,6.63319,,2021-02-09T16:20:05Z,2016,2016-01-01,2016-12-31
25257697,RS_198,COUNTRY,AFG,YEAR,2014,SEX,MLE,,,,,,,21.9 [18.7-25.0],21.88013,18.74176,25.0185,,2021-02-09T16:20:05Z,2014,2014-01-01,2014-12-31
25257698,RS_198,COUNTRY,AFG,YEAR,2008,SEX,MLE,,,,,,,22.9 [19.4-26.5],22.94901,19.35738,26.54065,,2021-02-09T16:20:05Z,2008,2008-01-01,2008-12-31
25257699,RS_198,COUNTRY,AFG,YEAR,2004,SEX,FMLE,,,,,,,7.1 [5.9-8.3],7.11146,5.93978,8.28124,,2021-02-09T16:20:05Z,2004,2004-01-01,2004-12-31
25257700,RS_198,COUNTRY,AFG,YEAR,2005,SEX,FMLE,,,,,,,7.0 [5.9-8.1],6.98712,5.85582,8.11842,,2021-02-09T16:20:05Z,2005,2005-01-01,2005-12-31
25257701,RS_198,COUNTRY,AFG,YEAR,2008,SEX,BTSX,,,,,,,15.0 [12.7-17.4],15.00967,12.66058,17.35876,,2021-02-09T16:20:05Z,2008,2008-01-01,2008-12-31
25257702,RS_198,COUNTRY,AFG,YEAR,2007,SEX,FMLE,,,,,,,6.7 [5.7-7.8],6.72083,5.65895,7.78437,,2021-02-09T16:20:05Z,2007,2007-01-01,2007-12-31
25257703,RS_198,COUNTRY,AFG,YEAR,2004,SEX,BTSX,,,,,,,15.2 [12.7-17.7],15.19411,12.69074,17.69343,,2021-02-09T16:20:05Z,2004,2004-01-01,2004-12-31
25257704,RS_198,COUNTRY,AFG,YEAR,2010,SEX,FMLE,,,,,,,6.3 [5.4-7.3],6.32458,5.35931,7.29136,,2021-02-09T16:20:05Z,2010,2010-01-01,2010-12-31
25257705,RS_198,COUNTRY,AFG,YEAR,2019,SEX,FMLE,,,,,,,6.4 [5.5-7.2],6.37578,5.52368,7.23507,,2021-02-09T16:20:05Z,2019,2019-01-01,2019-12-31
25257706,RS_198,COUNTRY,AFG,YEAR,2010,SEX,MLE,,,,,,,22.1 [18.8-25.5],22.13791,18.75916,25.52192,,2021-02-09T16:20:05Z,2010,2010-01-01,2010-12-31
25257707,RS_198,COUNTRY,AFG,YEAR,2007,SEX,BTSX,,,,,,,15.0 [12.6-17.3],14.95585,12.59284,17.32253,,2021-02-09T16:20:05Z,2007,2007-01-01,2007-12-31
25257708,RS_198,COUNTRY,AFG,YEAR,2010,SEX,BTSX,,,,,,,14.4 [12.2-16.6],14.41709,12.21671,16.62089,,2021-02-09T16:20:05Z,2010,2010-01-01,2010-12-31
