Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257598,RS_196,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,4239 [3650-4829],4238.964,3649.724,4829.015,,2021-02-09T16:20:02Z,2016,2016-01-01,2016-12-31
25257599,RS_196,COUNTRY,AFG,YEAR,2018,SEX,FMLE,,,,,,,957 [827-1087],956.5362,827.0327,1086.839,,2021-02-09T16:20:02Z,2018,2018-01-01,2018-12-31
25257600,RS_196,COUNTRY,AFG,YEAR,2007,SEX,FMLE,,,,,,,885 [745-1025],884.5671,744.8068,1024.545,,2021-02-09T16:20:02Z,2007,2007-01-01,2007-12-31
25257601,RS_196,COUNTRY,AFG,YEAR,2006,SEX,FMLE,,,,,,,881 [740-1022],880.6551,739.5557,1021.755,,2021-02-09T16:20:02Z,2006,2006-01-01,2006-12-31
25257602,RS_196,COUNTRY,AFG,YEAR,2002,SEX,BTSX,,,,,,,3371 [2799-3942],3371,2799,3942,,2021-02-09T16:20:02Z,2002,2002-01-01,2002-12-31
25257603,RS_196,COUNTRY,AFG,YEAR,2014,SEX,MLE,,,,,,,3750 [3212-4288],3749.993,3212.113,4287.872,,2021-02-09T16:20:02Z,2014,2014-01-01,2014-12-31
25257604,RS_196,COUNTRY,AFG,YEAR,2000,SEX,FMLE,,,,,,,664 [547-781],663.9486,547.0688,781.0506,,2021-02-09T16:20:02Z,2000,2000-01-01,2000-12-31
25257605,RS_196,COUNTRY,AFG,YEAR,2010,SEX,FMLE,,,,,,,901 [764-1039],901.2375,763.688,1039.001,,2021-02-09T16:20:02Z,2010,2010-01-01,2010-12-31
25257606,RS_196,COUNTRY,AFG,YEAR,2013,SEX,BTSX,,,,,,,4506 [3845-5168],4506.487,3845.003,5167.972,,2021-02-09T16:20:02Z,2013,2013-01-01,2013-12-31
25257607,RS_196,COUNTRY,AFG,YEAR,2009,SEX,FMLE,,,,,,,880 [745-1016],880.025,744.6366,1015.628,,2021-02-09T16:20:02Z,2009,2009-01-01,2009-12-31
25257608,RS_196,COUNTRY,AFG,YEAR,2011,SEX,BTSX,,,,,,,4282 [3627-4937],4281.597,3627.422,4936.77,,2021-02-09T16:20:03Z,2011,2011-01-01,2011-12-31
25257609,RS_196,COUNTRY,AFG,YEAR,2003,SEX,FMLE,,,,,,,799 [666-932],798.9806,665.7423,932.219,,2021-02-09T16:20:03Z,2003,2003-01-01,2003-12-31
25257610,RS_196,COUNTRY,AFG,YEAR,2014,SEX,BTSX,,,,,,,4693 [4020-5366],4693.314,4020.129,5366.498,,2021-02-09T16:20:03Z,2014,2014-01-01,2014-12-31
25257611,RS_196,COUNTRY,AFG,YEAR,2007,SEX,MLE,,,,,,,3169 [2668-3670],3168.549,2667.923,3669.956,,2021-02-09T16:20:03Z,2007,2007-01-01,2007-12-31
25257612,RS_196,COUNTRY,AFG,YEAR,2004,SEX,MLE,,,,,,,2906 [2427-3384],2906.259,2427.427,3384.318,,2021-02-09T16:20:03Z,2004,2004-01-01,2004-12-31
25257613,RS_196,COUNTRY,AFG,YEAR,2018,SEX,MLE,,,,,,,4339 [3751-4930],4338.659,3751.257,4929.686,,2021-02-09T16:20:03Z,2018,2018-01-01,2018-12-31
25257614,RS_196,COUNTRY,AFG,YEAR,2001,SEX,BTSX,,,,,,,3265 [2702-3827],3265.053,2701.727,3827.361,,2021-02-09T16:20:03Z,2001,2001-01-01,2001-12-31
25257615,RS_196,COUNTRY,AFG,YEAR,2009,SEX,BTSX,,,,,,,4095 [3465-4726],4095,3465,4726,,2021-02-09T16:20:03Z,2009,2009-01-01,2009-12-31
25257616,RS_196,COUNTRY,AFG,YEAR,2005,SEX,FMLE,,,,,,,867 [727-1008],867.4224,726.9762,1007.869,,2021-02-09T16:20:03Z,2005,2005-01-01,2005-12-31
25257617,RS_196,COUNTRY,AFG,YEAR,2017,SEX,FMLE,,,,,,,1057 [912-1203],1057.27,912.2865,1202.827,,2021-02-09T16:20:03Z,2017,2017-01-01,2017-12-31
25257618,RS_196,COUNTRY,AFG,YEAR,2017,SEX,BTSX,,,,,,,5490 [4737-6246],5490.39,4737.492,6246.263,,2021-02-09T16:20:03Z,2017,2017-01-01,2017-12-31
25257619,RS_196,COUNTRY,AFG,YEAR,2014,SEX,FMLE,,,,,,,943 [808-1079],943.321,808.016,1078.626,,2021-02-09T16:20:03Z,2014,2014-01-01,2014-12-31
25257620,RS_196,COUNTRY,AFG,YEAR,2015,SEX,MLE,,,,,,,3981 [3421-4541],3980.983,3421.284,4540.682,,2021-02-09T16:20:03Z,2015,2015-01-01,2015-12-31
