Id,Geographic Code,Geographic Value,Year,Sex,Rate,Low,High
25257598,COUNTRY,Afghanistan,2016,Male,4238.964,3649.724,4829.015
25257599,COUNTRY,Afghanistan,2018,Female,956.5362,827.0327,1086.839
25257600,COUNTRY,Afghanistan,2007,Female,884.5671,744.8068,1024.545
25257601,COUNTRY,Afghanistan,2006,Female,880.6551,739.5557,1021.755
25257602,COUNTRY,Afghanistan,2002,Both sexes,3371,2799,3942
25257603,COUNTRY,Afghanistan,2014,Male,3749.993,3212.113,4287.872
25257604,COUNTRY,Afghanistan,2000,Female,663.9486,547.0688,781.0506
25257605,COUNTRY,Afghanistan,2010,Female,901.2375,763.688,1039.001
25257606,COUNTRY,Afghanistan,2013,Both sexes,4506.487,3845.003,5167.972
25257607,COUNTRY,Afghanistan,2009,Female,880.025,744.6366,1015.628
25257608,COUNTRY,Afghanistan,2011,Both sexes,4281.597,3627.422,4936.77
25257609,COUNTRY,Afghanistan,2003,Female,798.9806,665.7423,932.219
25257610,COUNTRY,Afghanistan,2014,Both sexes,4693.314,4020.129,5366.498
25257611,COUNTRY,Afghanistan,2007,Male,3168.549,2667.923,3669.956
25257612,COUNTRY,Afghanistan,2004,Male,2906.259,2427.427,3384.318
25257613,COUNTRY,Afghanistan,2018,Male,4338.659,3751.257,4929.686
25257614,COUNTRY,Afghanistan,2001,Both sexes,3265.053,2701.727,3827.361
25257615,COUNTRY,Afghanistan,2009,Both sexes,4095,3465,4726
25257616,COUNTRY,Afghanistan,2005,Female,867.4224,726.9762,1007.869
25257617,COUNTRY,Afghanistan,2017,Female,1057.27,912.2865,1202.827
25257618,COUNTRY,Afghanistan,2017,Both sexes,5490.39,4737.492,6246.263
25257619,COUNTRY,Afghanistan,2014,Female,943.321,808.016,1078.626
25257620,COUNTRY,Afghanistan,2015,Male,3980.983,3421.284,4540.682
25257621,COUNTRY,Afghanistan,2010,Both sexes,4207.702,3565.51,4850.892
25257622,COUNTRY,Afghanistan,2019,Female,1180.286,1022.545,1339.358
25257623,COUNTRY,Afghanistan,2016,Both sexes,5240.235,4511.812,5969.66
