Id,Country,Year,Vehicle Type,NumericValue
22240670,Albania,2016,Drivers/passengers of motorized 2- or 3-wheelers,11.9
22240671,Andorra,2013,Drivers/passengers of motorized 2- or 3-wheelers,50
22240672,Antigua and Barbuda,2016,Drivers/passengers of motorized 2- or 3-wheelers,0
22240673,Argentina,2016,Drivers/passengers of motorized 2- or 3-wheelers,22.2
22240674,Armenia,2016,Drivers/passengers of motorized 2- or 3-wheelers,1.5
22240675,Australia,2016,Drivers/passengers of motorized 2- or 3-wheelers,19.3
22240676,Austria,2016,Drivers/passengers of motorized 2- or 3-wheelers,22
22240677,Azerbaijan,2016,Drivers/passengers of motorized 2- or 3-wheelers,0.9
22240678,Bahamas,2013,Drivers/passengers of motorized 2- or 3-wheelers,17.3
22240679,Bahrain,2013,Drivers/passengers of motorized 2- or 3-wheelers,9.1
22240680,Barbados,2016,Drivers/passengers of motorized 2- or 3-wheelers,33.3
22240681,Belgium,2016,Drivers/passengers of motorized 2- or 3-wheelers,14.4
22240682,Belize,2016,Drivers/passengers of motorized 2- or 3-wheelers,19.8
22240683,Benin,2016,Drivers/passengers of motorized 2- or 3-wheelers,56.5
22240684,Bolivia (Plurinational State of),2016,Drivers/passengers of motorized 2- or 3-wheelers,19.7
22240685,Botswana,2016,Drivers/passengers of motorized 2- or 3-wheelers,0
22240686,Brazil,2016,Drivers/passengers of motorized 2- or 3-wheelers,31.4
22240687,Bulgaria,2016,Drivers/passengers of motorized 2- or 3-wheelers,7.8
22240688,Cambodia,2016,Drivers/passengers of motorized 2- or 3-wheelers,73.5
22240689,Canada,2016,Drivers/passengers of motorized 2- or 3-wheelers,10.8
22240690,Chile,2016,Drivers/passengers of motorized 2- or 3-wheelers,8.7
22240691,Colombia,2016,Drivers/passengers of motorized 2- or 3-wheelers,52.5
22240692,Comoros,2016,Drivers/passengers of motorized 2- or 3-wheelers,17.4
22240693,Cook Islands,2016,Drivers/passengers of motorized 2- or 3-wheelers,80
22240694,Costa Rica,2016,Drivers/passengers of motorized 2- or 3-wheelers,40
22240695,Côte d'Ivoire,2016,Drivers/passengers of motorized 2- or 3-wheelers,35
22240696,Croatia,2016,Drivers/passengers of motorized 2- or 3-wheelers,16
22240697,Cuba,2016,Drivers/passengers of motorized 2- or 3-wheelers,15.6
22240698,Cyprus,2016,Drivers/passengers of motorized 2- or 3-wheelers,21.7
22240699,Czechia,2016,Drivers/passengers of motorized 2- or 3-wheelers,10.3
22240700,Democratic Republic of the Congo,2016,Drivers/passengers of motorized 2- or 3-wheelers,11.7
22240701,Denmark,2016,Drivers/passengers of motorized 2- or 3-wheelers,16.1
22240702,Dominica,2016,Drivers/passengers of motorized 2- or 3-wheelers,0
22240703,Dominican Republic,2016,Drivers/passengers of motorized 2- or 3-wheelers,67
22240704,Ecuador,2016,Drivers/passengers of motorized 2- or 3-wheelers,19.1
22240705,Egypt,2016,Drivers/passengers of motorized 2- or 3-wheelers,5.5
22240706,El Salvador,2016,Drivers/passengers of motorized 2- or 3-wheelers,14.2
22240707,Eritrea,2016,Drivers/passengers of motorized 2- or 3-wheelers,1.5
22240708,Estonia,2016,Drivers/passengers of motorized 2- or 3-wheelers,1.4
22240709,Eswatini,2016,Drivers/passengers of motorized 2- or 3-wheelers,0.5
22240710,Finland,2016,Drivers/passengers of motorized 2- or 3-wheelers,8.7
22240711,France,2016,Drivers/passengers of motorized 2- or 3-wheelers,21.1
22240712,Georgia,2016,Drivers/passengers of motorized 2- or 3-wheelers,0.5
22240713,Germany,2016,Drivers/passengers of motorized 2- or 3-wheelers,18.8
22240714,Ghana,2016,Drivers/passengers of motorized 2- or 3-wheelers,17.9
22240715,Greece,2016,Drivers/passengers of motorized 2- or 3-wheelers,32.4
22240716,Guatemala,2016,Drivers/passengers of motorized 2- or 3-wheelers,32.7
22240717,Guyana,2016,Drivers/passengers of motorized 2- or 3-wheelers,21.9
22240718,Honduras,2016,Drivers/passengers of motorized 2- or 3-wheelers,24.3
22240719,Hungary,2016,Drivers/passengers of motorized 2- or 3-wheelers,10.5
22240720,Iceland,2016,Drivers/passengers of motorized 2- or 3-wheelers,11.1
22240721,India,2016,Drivers/passengers of motorized 2- or 3-wheelers,39.6
22240722,Indonesia,2016,Drivers/passengers of motorized 2- or 3-wheelers,73.6
22240723,Iran (Islamic Republic of),2016,Drivers/passengers of motorized 2- or 3-wheelers,24.1
22240724,Ireland,2016,Drivers/passengers of motorized 2- or 3-wheelers,11.7
22240725,Israel,2016,Drivers/passengers of motorized 2- or 3-wheelers,12.2
22240726,Italy,2016,Drivers/passengers of motorized 2- or 3-wheelers,25.6
22240727,Jamaica,2016,Drivers/passengers of motorized 2- or 3-wheelers,28.8
22240728,Japan,2016,Drivers/passengers of motorized 2- or 3-wheelers,17.2
22240729,Jordan,2016,Drivers/passengers of motorized 2- or 3-wheelers,0
22240730,Kazakhstan,2016,Drivers/passengers of motorized 2- or 3-wheelers,4.3
22240731,Kenya,2016,Drivers/passengers of motorized 2- or 3-wheelers,24.2
22240732,Kiribati,2016,Drivers/passengers of motorized 2- or 3-wheelers,20
22240733,Kyrgyzstan,2016,Drivers/passengers of motorized 2- or 3-wheelers,2.1
22240734,Latvia,2016,Drivers/passengers of motorized 2- or 3-wheelers,12
22240735,Lebanon,2016,Drivers/passengers of motorized 2- or 3-wheelers,20.7
22240736,Libya,2016,Drivers/passengers of motorized 2- or 3-wheelers,1.9
22240737,Lithuania,2016,Drivers/passengers of motorized 2- or 3-wheelers,5.7
22240738,Luxembourg,2016,Drivers/passengers of motorized 2- or 3-wheelers,9.4
22240739,Malawi,2016,Drivers/passengers of motorized 2- or 3-wheelers,3.2
22240740,Maldives,2016,Drivers/passengers of motorized 2- or 3-wheelers,75
22240741,Mali,2016,Drivers/passengers of motorized 2- or 3-wheelers,42.3
22240742,Malta,2016,Drivers/passengers of motorized 2- or 3-wheelers,40.9
22240743,Marshall Islands,2013,Drivers/passengers of motorized 2- or 3-wheelers,66.7
22240744,Mauritius,2016,Drivers/passengers of motorized 2- or 3-wheelers,45.8
22240745,Mexico,2016,Drivers/passengers of motorized 2- or 3-wheelers,9.6
22240746,Micronesia (Federated States of),2016,Drivers/passengers of motorized 2- or 3-wheelers,0
22240747,Mongolia,2016,Drivers/passengers of motorized 2- or 3-wheelers,18.6
22240748,Montenegro,2016,Drivers/passengers of motorized 2- or 3-wheelers,15.4
22240749,Morocco,2016,Drivers/passengers of motorized 2- or 3-wheelers,28.7
22240750,Myanmar,2016,Drivers/passengers of motorized 2- or 3-wheelers,64.8
